config,bytes_per_correct
pipeline_theta1_0.70_theta2_0.70,47.6
pipeline_theta1_0.80_theta2_0.80,47.6
pipeline_theta1_0.70_theta2_0.90,47.6
pipeline_theta1_0.80_theta2_0.90,47.6
pipeline_theta1_0.80_theta2_0.70,47.6
pipeline_theta1_0.70_theta2_0.80,47.6
pipeline_theta1_0.70_theta2_0.60,47.67
ablation_two_tier,47.67
pipeline_theta1_0.90_theta2_0.50,47.67
pipeline_theta1_0.80_theta2_0.60,47.67
pipeline_theta1_0.80_theta2_0.50,47.67
pipeline_theta1_0.60_theta2_0.90,47.67
pipeline_theta1_0.70_theta2_0.50,47.67
pipeline_theta1_0.90_theta2_0.70,47.67
pipeline_theta1_0.60_theta2_0.80,47.74
pipeline_theta1_0.50_theta2_0.90,47.74
pipeline_theta1_0.60_theta2_0.70,47.74
pipeline_theta1_0.90_theta2_0.60,47.74
pipeline_theta1_0.90_theta2_0.80,47.74
pipeline_theta1_0.90_theta2_0.90,47.74
pipeline_theta1_0.60_theta2_0.60,47.81
pipeline_theta1_0.60_theta2_0.50,47.81
pipeline_theta1_0.50_theta2_0.70,47.81
pipeline_theta1_0.50_theta2_0.80,47.81
pipeline_theta1_0.50_theta2_0.50,47.88
pipeline_theta1_0.50_theta2_0.60,47.88
ablation_tier1_only,48.02
ablation_tier3_only,56.28
